account_id,score_ts,telemetry_score,arr_value,arr_band,health_flag,last_flagged_ts,cs_action_status,expansion_signal_type,ae_task_created
ACCT-0001,2026-07-29T06:28:51Z,19.3,327919.04,200k+,at_risk,2026-07-27T00:28:51Z,escalated,,FALSE
ACCT-0002,2026-08-23T12:18:41Z,15.7,53921.9,50k-100k,at_risk,2026-08-16T23:18:41Z,escalated,,FALSE
ACCT-0003,2026-08-07T19:49:08Z,31.2,325502.06,200k+,at_risk,2026-08-01T14:49:08Z,open,,FALSE
ACCT-0004,2026-08-12T11:01:26Z,35.3,28179.5,under-50k,at_risk,2026-08-05T22:01:26Z,escalated,,FALSE
ACCT-0005,2026-08-09T06:51:04Z,34.8,287547.27,200k+,at_risk,2026-08-07T08:51:04Z,open,,FALSE
ACCT-0006,2026-08-19T04:23:37Z,19.9,32779.12,under-50k,at_risk,2026-08-17T22:23:37Z,in_progress,,FALSE
ACCT-0007,2026-08-07T09:10:04Z,18.8,290777.01,200k+,at_risk,2026-08-06T09:10:04Z,escalated,,FALSE
ACCT-0008,2026-07-30T16:52:51Z,14.0,128326.44,100k-200k,at_risk,2026-07-24T08:52:51Z,in_progress,,FALSE
ACCT-0009,2026-08-22T08:44:11Z,27.9,151893.87,100k-200k,at_risk,2026-08-20T08:44:11Z,open,,FALSE
ACCT-0010,2026-08-09T05:17:26Z,35.2,106201.01,100k-200k,at_risk,2026-08-09T02:17:26Z,escalated,,FALSE
ACCT-0011,2026-08-11T13:27:38Z,88.8,260419.87,200k+,expansion,2026-08-07T18:27:38Z,,seat_expansion,FALSE
ACCT-0012,2026-08-08T16:46:23Z,87.9,210274.05,200k+,expansion,2026-08-07T18:46:23Z,,add_on_module,TRUE
ACCT-0013,2026-08-05T21:33:45Z,97.7,197689.16,100k-200k,expansion,2026-08-03T08:33:45Z,,add_on_module,TRUE
ACCT-0014,2026-08-02T09:11:56Z,97.6,225641.29,200k+,expansion,2026-07-28T00:11:56Z,,add_on_module,TRUE
ACCT-0015,2026-08-10T16:27:47Z,88.4,152792.13,100k-200k,expansion,2026-08-06T12:27:47Z,,add_on_module,TRUE
ACCT-0016,2026-08-04T18:45:23Z,97.9,243514.92,200k+,expansion,2026-07-31T00:45:23Z,,add_on_module,TRUE
ACCT-0017,2026-08-06T12:52:50Z,96.0,120278.73,100k-200k,expansion,2026-08-02T18:52:50Z,,upsell_tier,FALSE
ACCT-0018,2026-08-06T16:58:48Z,89.4,165912.73,100k-200k,expansion,2026-08-02T01:58:48Z,,add_on_module,FALSE
ACCT-0019,2026-08-21T08:32:42Z,84.1,47982.53,under-50k,expansion,2026-08-15T12:32:42Z,,seat_expansion,FALSE
ACCT-0020,2026-08-11T09:39:53Z,95.7,267875.59,200k+,expansion,2026-08-10T03:39:53Z,,seat_expansion,TRUE
ACCT-0021,2026-07-30T20:51:03Z,49.8,176794.99,100k-200k,stable,2026-07-27T07:51:03Z,,,FALSE
ACCT-0022,2026-08-14T23:22:02Z,75.4,209971.4,200k+,stable,2026-08-11T11:22:02Z,,,FALSE
ACCT-0023,2026-07-27T14:27:36Z,49.8,236499.14,200k+,stable,2026-07-21T11:27:36Z,,,FALSE
ACCT-0024,2026-08-21T11:27:52Z,71.1,92217.58,50k-100k,stable,2026-08-18T10:27:52Z,,,FALSE
ACCT-0025,2026-08-02T05:23:34Z,62.3,322765.1,200k+,stable,2026-07-30T01:23:34Z,,,FALSE
ACCT-0026,2026-08-23T11:11:42Z,72.1,240300.65,200k+,stable,2026-08-19T01:11:42Z,,,FALSE
ACCT-0027,2026-08-20T20:06:33Z,78.0,314170.56,200k+,stable,2026-08-17T03:06:33Z,,,FALSE
ACCT-0028,2026-08-19T09:02:08Z,57.8,72522.11,50k-100k,stable,2026-08-16T01:02:08Z,,,FALSE
ACCT-0029,2026-08-09T19:05:28Z,70.1,297154.75,200k+,stable,2026-08-03T03:05:28Z,,,FALSE
ACCT-0030,2026-08-17T16:29:19Z,59.4,98951.14,50k-100k,stable,2026-08-16T18:29:19Z,,,FALSE
ACCT-0031,2026-08-11T20:29:19Z,51.4,109665.99,100k-200k,stable,2026-08-07T18:29:19Z,,,FALSE
ACCT-0032,2026-08-03T18:01:51Z,45.5,96316.29,50k-100k,stable,2026-07-29T12:01:51Z,,,FALSE
ACCT-0033,2026-08-22T16:11:16Z,42.6,154507.79,100k-200k,stable,2026-08-19T03:11:16Z,,,FALSE
ACCT-0034,2026-08-15T05:46:24Z,42.5,294854.09,200k+,stable,2026-08-08T11:46:24Z,,,FALSE
ACCT-0035,2026-08-24T06:43:40Z,77.8,26445.55,under-50k,stable,2026-08-20T15:43:40Z,,,FALSE
ACCT-0036,2026-08-15T06:22:02Z,40.2,136080.4,100k-200k,stable,2026-08-08T17:22:02Z,,,FALSE
ACCT-0037,2026-08-07T00:56:46Z,61.5,262429.24,200k+,stable,2026-08-03T17:56:46Z,,,FALSE
ACCT-0038,2026-08-15T05:03:05Z,50.9,180261.86,100k-200k,stable,2026-08-12T08:03:05Z,,,FALSE
ACCT-0039,2026-08-04T08:17:27Z,67.2,153424.5,100k-200k,stable,2026-07-28T18:17:27Z,,,FALSE
ACCT-0040,2026-08-22T06:17:56Z,76.8,343638.25,200k+,stable,2026-08-21T18:17:56Z,,,FALSE
