record_id,ingested_ts,validation_status,failure_type,quarantine_ts,reprocessed,reprocessed_ts
DLQ-0017,2026-07-30T04:08:16Z,failed,schema_type_mismatch,2026-07-30T04:17:16Z,TRUE,2026-07-30T08:04:16Z
DLQ-0005,2026-07-30T06:37:07Z,failed,duplicate_record,2026-07-30T06:43:07Z,TRUE,2026-07-31T10:38:07Z
DLQ-0031,2026-07-30T16:08:51Z,failed,malformed_email,2026-07-30T16:14:51Z,FALSE,
DLQ-0028,2026-07-30T20:31:07Z,failed,missing_required_field,2026-07-30T20:39:07Z,FALSE,
DLQ-0009,2026-07-30T23:49:47Z,failed,duplicate_record,2026-07-30T23:58:47Z,TRUE,2026-07-31T05:01:47Z
DLQ-0021,2026-07-31T05:20:11Z,failed,malformed_email,2026-07-31T05:22:11Z,TRUE,2026-08-01T02:26:11Z
DLQ-0024,2026-07-31T07:31:03Z,failed,duplicate_record,2026-07-31T07:41:03Z,TRUE,2026-08-01T04:14:03Z
DLQ-0003,2026-08-01T00:55:57Z,failed,duplicate_record,2026-08-01T01:01:57Z,TRUE,2026-08-01T16:27:57Z
DLQ-0035,2026-08-01T08:41:13Z,failed,malformed_email,2026-08-01T08:46:13Z,FALSE,
DLQ-0006,2026-08-01T15:18:27Z,failed,malformed_email,2026-08-01T15:22:27Z,FALSE,
DLQ-0043,2026-08-01T18:20:33Z,failed,missing_required_field,2026-08-01T18:23:33Z,TRUE,2026-08-02T13:25:33Z
DLQ-0036,2026-08-01T22:29:02Z,failed,missing_required_field,2026-08-01T22:38:02Z,FALSE,
DLQ-0045,2026-08-02T12:29:05Z,failed,missing_required_field,2026-08-02T12:34:05Z,FALSE,
DLQ-0037,2026-08-03T21:06:35Z,failed,invalid_phone_format,2026-08-03T21:11:35Z,TRUE,2026-08-04T18:24:35Z
DLQ-0020,2026-08-03T23:25:20Z,failed,missing_required_field,2026-08-03T23:34:20Z,FALSE,
DLQ-0013,2026-08-04T07:48:58Z,failed,duplicate_record,2026-08-04T07:49:58Z,FALSE,
DLQ-0008,2026-08-05T05:46:44Z,failed,invalid_phone_format,2026-08-05T05:54:44Z,TRUE,2026-08-05T15:49:44Z
DLQ-0007,2026-08-05T13:36:33Z,failed,schema_type_mismatch,2026-08-05T13:44:33Z,TRUE,2026-08-05T20:11:33Z
DLQ-0012,2026-08-06T17:02:01Z,failed,duplicate_record,2026-08-06T17:03:01Z,FALSE,
DLQ-0022,2026-08-07T18:01:56Z,failed,duplicate_record,2026-08-07T18:03:56Z,TRUE,2026-08-09T00:39:56Z
DLQ-0011,2026-08-07T19:24:07Z,failed,malformed_email,2026-08-07T19:31:07Z,TRUE,2026-08-08T13:01:07Z
DLQ-0002,2026-08-08T03:06:44Z,failed,duplicate_record,2026-08-08T03:13:44Z,TRUE,2026-08-08T11:19:44Z
DLQ-0023,2026-08-08T06:51:42Z,failed,schema_type_mismatch,2026-08-08T07:01:42Z,TRUE,2026-08-08T10:40:42Z
DLQ-0039,2026-08-08T12:34:38Z,failed,missing_required_field,2026-08-08T12:36:38Z,TRUE,2026-08-09T11:03:38Z
DLQ-0040,2026-08-09T18:21:20Z,failed,missing_required_field,2026-08-09T18:22:20Z,FALSE,
DLQ-0032,2026-08-10T04:02:03Z,failed,malformed_email,2026-08-10T04:10:03Z,FALSE,
DLQ-0015,2026-08-10T04:20:21Z,failed,duplicate_record,2026-08-10T04:29:21Z,TRUE,2026-08-11T04:14:21Z
DLQ-0027,2026-08-10T21:31:18Z,failed,duplicate_record,2026-08-10T21:37:18Z,TRUE,2026-08-12T00:36:18Z
DLQ-0018,2026-08-11T13:22:33Z,failed,missing_required_field,2026-08-11T13:23:33Z,FALSE,
DLQ-0026,2026-08-11T14:03:02Z,failed,malformed_email,2026-08-11T14:08:02Z,TRUE,2026-08-12T04:16:02Z
DLQ-0025,2026-08-11T16:35:51Z,failed,invalid_phone_format,2026-08-11T16:39:51Z,TRUE,2026-08-12T16:24:51Z
DLQ-0041,2026-08-12T12:37:17Z,failed,malformed_email,2026-08-12T12:42:17Z,TRUE,2026-08-12T20:29:17Z
DLQ-0038,2026-08-12T23:29:04Z,failed,malformed_email,2026-08-12T23:34:04Z,TRUE,2026-08-13T18:05:04Z
DLQ-0044,2026-08-14T06:10:04Z,failed,schema_type_mismatch,2026-08-14T06:19:04Z,TRUE,2026-08-14T12:46:04Z
DLQ-0014,2026-08-15T06:52:27Z,failed,invalid_phone_format,2026-08-15T07:00:27Z,FALSE,
DLQ-0042,2026-08-17T18:46:32Z,failed,schema_type_mismatch,2026-08-17T18:53:32Z,TRUE,2026-08-18T13:53:32Z
DLQ-0004,2026-08-19T00:07:23Z,failed,missing_required_field,2026-08-19T00:09:23Z,FALSE,
DLQ-0019,2026-08-19T11:29:55Z,failed,schema_type_mismatch,2026-08-19T11:38:55Z,FALSE,
DLQ-0016,2026-08-19T23:00:47Z,failed,malformed_email,2026-08-19T23:04:47Z,TRUE,2026-08-20T10:17:47Z
DLQ-0030,2026-08-20T21:23:54Z,failed,invalid_phone_format,2026-08-20T21:26:54Z,TRUE,2026-08-21T11:22:54Z
DLQ-0034,2026-08-22T00:15:38Z,failed,missing_required_field,2026-08-22T00:24:38Z,TRUE,2026-08-22T12:23:38Z
DLQ-0001,2026-08-22T12:15:11Z,failed,malformed_email,2026-08-22T12:25:11Z,TRUE,2026-08-23T08:55:11Z
DLQ-0010,2026-08-22T13:49:50Z,failed,missing_required_field,2026-08-22T13:51:50Z,FALSE,
DLQ-0033,2026-08-22T16:53:41Z,failed,invalid_phone_format,2026-08-22T17:03:41Z,TRUE,2026-08-23T20:44:41Z
DLQ-0029,2026-08-23T15:56:06Z,failed,missing_required_field,2026-08-23T15:58:06Z,TRUE,2026-08-24T11:11:06Z
