lead_id,created_ts,claimed_ts,sla_window_minutes,claimed_by_rep_id,sla_breached,escalated,escalation_ts
LEAD-0007,2026-07-27T15:34:17Z,2026-07-27T16:12:17Z,15,REP-003,TRUE,TRUE,2026-07-27T15:53:17Z
LEAD-0004,2026-07-28T14:54:59Z,2026-07-28T14:58:59Z,15,REP-009,FALSE,FALSE,
LEAD-0027,2026-07-28T21:23:58Z,2026-07-28T21:30:58Z,15,REP-006,FALSE,FALSE,
LEAD-0012,2026-07-29T10:37:24Z,2026-07-29T10:46:24Z,15,REP-008,FALSE,FALSE,
LEAD-0016,2026-07-29T13:23:21Z,2026-07-29T14:03:21Z,15,REP-004,TRUE,TRUE,2026-07-29T13:41:21Z
LEAD-0037,2026-07-29T14:53:40Z,2026-07-29T14:56:40Z,15,REP-002,FALSE,FALSE,
LEAD-0039,2026-07-30T10:00:54Z,2026-07-30T10:07:54Z,15,REP-007,FALSE,FALSE,
LEAD-0017,2026-07-31T04:57:51Z,2026-07-31T05:11:51Z,15,REP-004,FALSE,FALSE,
LEAD-0010,2026-08-01T00:40:57Z,2026-08-01T00:54:57Z,15,REP-006,FALSE,FALSE,
LEAD-0018,2026-08-01T05:40:30Z,2026-08-01T06:04:30Z,15,REP-007,TRUE,TRUE,2026-08-01T05:59:30Z
LEAD-0047,2026-08-01T11:58:39Z,2026-08-01T12:12:39Z,15,REP-005,FALSE,FALSE,
LEAD-0052,2026-08-01T18:20:07Z,2026-08-01T19:04:07Z,15,REP-006,TRUE,TRUE,2026-08-01T18:38:07Z
LEAD-0013,2026-08-02T09:25:58Z,2026-08-02T09:27:58Z,15,REP-007,FALSE,FALSE,
LEAD-0032,2026-08-03T02:40:52Z,2026-08-03T02:52:52Z,15,REP-004,FALSE,FALSE,
LEAD-0038,2026-08-04T02:23:33Z,2026-08-04T02:33:33Z,15,REP-007,FALSE,FALSE,
LEAD-0022,2026-08-04T15:23:27Z,2026-08-04T15:35:27Z,15,REP-009,FALSE,FALSE,
LEAD-0046,2026-08-05T00:08:40Z,2026-08-05T00:23:40Z,15,REP-009,FALSE,FALSE,
LEAD-0060,2026-08-06T02:21:28Z,2026-08-06T02:28:28Z,15,REP-005,FALSE,FALSE,
LEAD-0059,2026-08-06T14:45:46Z,2026-08-06T14:58:46Z,15,REP-009,FALSE,FALSE,
LEAD-0003,2026-08-06T22:43:54Z,2026-08-06T22:52:54Z,15,REP-004,FALSE,FALSE,
LEAD-0053,2026-08-07T22:58:55Z,2026-08-07T23:02:55Z,15,REP-001,FALSE,FALSE,
LEAD-0023,2026-08-08T05:13:31Z,2026-08-08T05:21:31Z,15,REP-003,FALSE,FALSE,
LEAD-0045,2026-08-09T02:52:13Z,2026-08-09T03:05:13Z,15,REP-009,FALSE,FALSE,
LEAD-0021,2026-08-09T07:03:06Z,2026-08-09T07:13:06Z,15,REP-002,FALSE,FALSE,
LEAD-0028,2026-08-09T07:56:26Z,2026-08-09T08:00:26Z,15,REP-002,FALSE,FALSE,
LEAD-0051,2026-08-12T01:40:09Z,2026-08-12T01:41:09Z,15,REP-008,FALSE,FALSE,
LEAD-0026,2026-08-12T01:49:00Z,2026-08-12T01:53:00Z,15,REP-001,FALSE,FALSE,
LEAD-0009,2026-08-12T16:09:39Z,2026-08-12T16:27:39Z,15,REP-002,TRUE,TRUE,2026-08-12T16:28:39Z
LEAD-0043,2026-08-12T20:19:59Z,2026-08-12T20:24:59Z,15,REP-002,FALSE,FALSE,
